GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,119,2,14,0,17,2,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,OctalUnescaper,0,70,0,12,0,13,0,9,0,3
Commons Lang,org.apache.commons.lang3.text.translate,CharSequenceTranslator,0,111,0,12,0,30,0,11,0,5
Commons Lang,org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
Commons Lang,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,35,0,0,3,5,3,3,3,3
Commons Lang,org.apache.commons.lang3.text.translate,LookupTranslator,0,109,1,13,0,25,1,8,0,2
Commons Lang,org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,6,0,3,0,2
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
Commons Lang,org.apache.commons.lang3.text.translate,UnicodeEscaper,16,124,0,18,3,24,2,15,2,6
Commons Lang,org.apache.commons.lang3.text.translate,EntityArrays,0,3450,0,2,0,26,0,14,0,13
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,0,205,4,44,0,41,4,23,0,3
Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,0,21,0,0,0,1,0,1,0,1
Commons Lang,org.apache.commons.lang3,LocaleUtils,24,476,4,68,2,91,4,42,0,10
Commons Lang,org.apache.commons.lang3,EnumUtils,0,366,1,25,0,68,1,25,0,13
Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,0,66,0,4,0,11,0,5,0,3
Commons Lang,org.apache.commons.lang3,CharSet,0,301,0,34,0,60,0,26,0,9
Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,20,1,3,0,3
Commons Lang,org.apache.commons.lang3,RandomStringUtils,11,271,1,55,2,56,2,39,1,12
Commons Lang,org.apache.commons.lang3,Range,23,415,6,72,1,90,6,57,0,24
Commons Lang,org.apache.commons.lang3,Conversion,29,3057,51,405,1,520,42,260,1,43
Commons Lang,org.apache.commons.lang3,BitField,0,150,0,14,0,27,0,25,0,18
